Title,Author(s),First Published Year,ISBN-10,ISBN-13,Publisher,Language
Star Trek Voyager - Mosaic,Jeri Taylor,1996,N/A,N/A,N/A,eng
Araminta Station,Jack Vance,1987,N/A,N/A,N/A,"ita, eng, rus, heb"
Etiquette & espionage (Finishing School #1),Gail Carriger,2013,N/A,N/A,N/A,eng
Looking Backward,Edward Bellamy,2007,N/A,N/A,N/A,eng
Valentine Pontifice,Robert Silverberg,1983,N/A,N/A,N/A,"eng, spa"
A Sound of Thunder and Other Stories,Ray Bradbury,2005,N/A,N/A,N/A,eng
"The Innocent Mage (Kingmaker, Kingbreaker)","Karen Miller, Cédric Perdereau, Jean-Claude Mallé",2005,N/A,N/A,N/A,eng
"""Quantum Leap""",Ashley McConnell,1992,N/A,N/A,N/A,eng
Aelita,Alexei Nikolayevich Tolstoy,1923,N/A,N/A,N/A,"yid, rus, ger, eng"
Slave Girl of Gor,John Norman,1977,N/A,N/A,N/A,eng
No Enemy But Time,Michael Bishop,1982,N/A,N/A,N/A,eng
Star Trek - Ishmael,Barbara Hambly,1985,N/A,N/A,N/A,eng
I Am Number Four,Pittacus Lore,2009,N/A,N/A,N/A,N/A
Saturn Run,"John Sandford, Ctein",2015,N/A,N/A,N/A,eng
The Golden Bough,James George Frazer,1911,N/A,N/A,N/A,eng
The Warning,Katherine Applegate,1998,N/A,N/A,N/A,"ger, fre, eng"
Star Wars - The New Jedi Order - Dark Tide II - Ruin,Michael A. Stackpole,2000,N/A,N/A,N/A,"eng, fre, spa"
Privateers,Ben Bova,1985,N/A,N/A,N/A,eng
Through the dark,Alexandra Bracken,2015,N/A,N/A,N/A,eng
The green brain,Frank Herbert,1966,N/A,N/A,N/A,"ger, fre, eng"
House rules,Jodi Picoult,2010,N/A,N/A,N/A,eng
The Overman culture,Edmund Cooper,1971,N/A,N/A,N/A,"dut, eng, ger"
Star Wars Legends Epic Collection,"W. Haden Blackman, Tim Truman, John Ostrander, Rob Williams",2003,N/A,N/A,N/A,eng
Bill the Galactic Hero,Harry Harrison,1965,N/A,N/A,N/A,"eng, rus"
Proxy,"Alex London, Alex London",2013,N/A,N/A,N/A,eng
Zita the Spacegirl,Ben Hatke,2011,N/A,N/A,N/A,N/A
Fortunes Pawn,Rachel Aaron,2013,N/A,N/A,N/A,N/A
Icerigger,Alan Dean Foster,1974,N/A,N/A,N/A,eng
Down and Out in the Magic Kingdom,Cory Doctorow,2014,N/A,N/A,N/A,eng
Norstrilia,Paul Myron Anthony Linebarger,1975,N/A,N/A,N/A,eng
I am number four,Pittacus Lore,2010,N/A,N/A,N/A,eng
Unsouled,Neal Shusterman,2013,N/A,N/A,N/A,N/A
Star Wars - Young Jedi Knights - Lightsabers,"Kevin J. Anderson, Rebecca Moesta",1996,N/A,N/A,N/A,eng
The Riftwar Saga,Raymond E. Feist,1988,N/A,N/A,N/A,N/A
Tripoint,C. J. Cherryh,1994,N/A,N/A,N/A,"eng, ger"
"Mercenary, Vol. 2",Piers Anthony,1984,N/A,N/A,N/A,eng
Time Is the Simplest Thing,Clifford D. Simak,1961,N/A,N/A,N/A,eng
Police Your Planet,Lester del Rey,1956,N/A,N/A,N/A,eng
Transmetropolitan Vol. 1,Darick Robertson,1998,N/A,N/A,N/A,eng
Boneshaker,Cherie Priest,2009,N/A,N/A,N/A,"rus, pol, cze, eng, por, tur, spa, fre, ger, jpn"
The Ministry of Time,Kaliane Bradley,2024,N/A,N/A,N/A,eng
Metatropolis,"John Scalzi, Jay Lake, Tobias Buckell, Elizabeth Bear, Karl Schroeder",2009,N/A,N/A,N/A,eng
Star Wars Episode III - Revenge of the Sith (junior),"Patricia C. Wrede, Salido Amoroto Ignacio",2005,N/A,N/A,N/A,"spa, eng"
Novels (Congo / Jurassic Park),Michael Crichton,1991,N/A,N/A,N/A,eng
Swamp Thing Saga of the Swamp Thing,"Alan Moore, Stephen Bissette",1987,N/A,N/A,N/A,eng
The fire sermon,Francesca Haig,2015,N/A,N/A,N/A,eng
Armageddon,"James Patterson, Chris Grabenstein",2012,N/A,N/A,N/A,eng
Star Man's Son 2250 A.D.,Andre Norton,1952,N/A,N/A,N/A,"ger, eng"
Legion--The Many Lives of Stephen Leeds,Brandon Sanderson,2018,N/A,N/A,N/A,eng
Blood Brothers of Gor,John Norman,1982,N/A,N/A,N/A,eng
Star Wars - The Old Republic - Fatal Alliance,Sean Williams,2010,N/A,N/A,N/A,eng
The Legends of King Arthur and His Knights,Sir James Knowles,2011,N/A,N/A,N/A,eng
Vortex,Larry Bond,1991,N/A,N/A,N/A,"eng, und"
Forbidden knowledge,Stephen R. Donaldson,1991,N/A,N/A,N/A,eng
Titan,Stephen Baxter,1997,N/A,N/A,N/A,"eng, fre"
The giver,Lois Lowry,1997,N/A,N/A,N/A,eng
Supergods,Grant Morrison,2011,N/A,N/A,N/A,"eng, spa"
The Declaration,Gemma Malley,2007,N/A,N/A,N/A,eng
Timeriders,Alex Scarrow,2010,N/A,N/A,N/A,"fre, eng, spa"
The Languages of Pao,Jack Vance,1958,N/A,N/A,N/A,"fre, eng, ger"
The iron giant,Ted Hughes,1999,N/A,N/A,N/A,eng
House on the Borderland,William Hope Hodgson,2015,N/A,N/A,N/A,eng
Eight Little Piggies,Stephen Jay Gould,1993,N/A,N/A,N/A,"eng, fre, spa"
A Brother's Price,Wen Spencer,2005,N/A,N/A,N/A,eng
Moxyland,Lauren Beukes,2009,N/A,N/A,N/A,eng
Fuzzy sapiens,H. Beam Piper,1964,N/A,N/A,N/A,"ger, eng"
Shadow Watch,Jerome Preisler,1999,N/A,N/A,N/A,eng
A Woman of the Iron People,Eleanor Arnason,1991,N/A,N/A,N/A,eng
Beasts of Gor,John Norman,1978,N/A,N/A,N/A,"eng, fre"
A fighting man of Mars,Edgar Rice Burroughs,1931,N/A,N/A,N/A,eng
A choice of gods,Clifford D. Simak,1971,N/A,N/A,N/A,"fre, eng"
The girl who owned a city,O. T. Nelson,1975,N/A,N/A,N/A,eng
Star Trek - Log Two,Alan Dean Foster,1974,N/A,N/A,N/A,eng
Outlanders,James Axler,2000,N/A,N/A,N/A,eng
X-Men,Chris Claremont,1988,N/A,N/A,N/A,eng
"Magic's Price (The Last Herald-Mage Series, Book 3)",Mercedes Lackey,1990,N/A,N/A,N/A,eng
Schismatrix,Bruce Sterling,1985,N/A,N/A,N/A,"eng, fre, ger"
Star Wars The High Republic - Into the Dark,"Claudia Gray, Giorgio Baroni, Julien Bétan",2021,N/A,N/A,N/A,eng
Mr. Granite is from another planet!,Dan Gutman,2008,N/A,N/A,N/A,eng
Star Wars - Jedi Apprentice - The Mark of the Crown,Jude Watson,1999,N/A,N/A,N/A,"eng, bul"
Moon Man,Tomi Ungerer,1966,N/A,N/A,N/A,"fre, ger, eng"
Wizard's Holiday,Diane Duane,2003,N/A,N/A,N/A,eng
Cantata-140,Philip K. Dick,1966,N/A,N/A,N/A,"fre, eng, ger"
NEWTON'S WAKE: A SPACE OPERA,Ken MacLeod,2004,N/A,N/A,N/A,"und, eng"
Contact Harvest (Halo),Joseph Staten,2007,N/A,N/A,N/A,eng
Doctor Who,Peter Haining,1983,N/A,N/A,N/A,eng
Gentleman Jole and the Red Queen,Lois McMaster Bujold,2016,N/A,N/A,N/A,eng
The Rule of Thoughts (The Mortality Doctrine),James Dashner,2014,N/A,N/A,N/A,N/A
The croquet player,H. G. Wells,1936,N/A,N/A,N/A,"eng, fre"
Shadow of the Scorpion,Neal L. Asher,2008,N/A,N/A,N/A,eng
Total Recall,Piers Anthony,1989,N/A,N/A,N/A,eng
The Bloody Sun,Marion Zimmer Bradley,1964,N/A,N/A,N/A,"ger, eng"
Maze Runner,"James Dashner, V&R Editoras",2012,N/A,N/A,N/A,eng
The Drought,J. G. Ballard,1965,N/A,N/A,N/A,"ita, eng, ger"
The Final Spark (Michael Vey #7),Richard Paul Evans,2017,N/A,N/A,N/A,eng
Graduation day,Joelle Charbonneau,2014,N/A,N/A,N/A,eng
Moonseed,Stephen Baxter,1998,N/A,N/A,N/A,eng
The Beast Master,Andre Norton,1959,N/A,N/A,N/A,eng
Deadlines (Larkin Family Chronicles),Greg Bear,2001,N/A,N/A,N/A,"eng, spa"
Captive universe,Harry Harrison,1968,N/A,N/A,N/A,"ger, eng"
Esrever Doom: A Fun-Filled Adventure in the Magical Land of Xanth,Piers Anthony,2013,N/A,N/A,N/A,eng
Star Trek Adventures - Spock Must Die!,James Blish,1970,N/A,N/A,N/A,eng
Star of the unborn,Franz Werfel,1946,N/A,N/A,N/A,eng
Star Wars - Republic Commando - Triple Zero,Karen Traviss,2006,N/A,N/A,N/A,"ger, eng, pol"
Goliath (Leviathan #3),Scott Westerfeld,2011,N/A,N/A,N/A,eng
Roughing It in two volumes. 2/2,Mark Twain,1899,N/A,N/A,N/A,eng
Buried fire,Jonathan Stroud,1998,N/A,N/A,N/A,"eng, ger"
Mutation,Robin Cook,1989,N/A,N/A,N/A,"eng, spa"
Hunger,Michael Grant,2009,N/A,N/A,N/A,eng
Existence,David Brin,2012,N/A,N/A,N/A,eng
The Wesleyan anthology of science fiction,Arthur B. Evans,2010,N/A,N/A,N/A,eng
The wave in the mind,Ursula K. Le Guin,2000,N/A,N/A,N/A,"cat, eng"
Mindswap,Robert Sheckley,1966,N/A,N/A,N/A,eng
Nebula Award Stories Eight,Isaac Asimov,1973,N/A,N/A,N/A,"ger, eng"
"The Hugo Winners, Volume Three","Isaac Asimov, Fritz Leiber, Theodore Sturgeon, Poul Anderson, Larry Niven, Ursula K. Le Guin, Frederik Pohl, Cyril M. Kornbluth, R. A. Lafferty, James Tiptree, Jr., Harlan Ellison, George R. R. Martin, Ursula K. Leguin",1977,N/A,N/A,N/A,eng
E.T,"William Kotzwinkle, Melissa Mathison",1982,N/A,N/A,N/A,eng
The Hatching,Ezekiel Boone,2016,N/A,N/A,N/A,eng
The Edge of the Knife,H. Beam Piper,2006,N/A,N/A,N/A,eng
The Trail of the Jedi,Jude Watson,2002,N/A,N/A,N/A,eng
The Falls,Joyce Carol Oates,2004,N/A,N/A,N/A,eng
Star Wars - Lost Tribe Of The Sith - The Collected Stories,John Jackson Miller,2012,N/A,N/A,N/A,"eng, pol"
Nightmare Academy,Dean Lorey,2007,N/A,N/A,N/A,"eng, spa"
Isaac Asimov's Caliban,Roger MacBride Allen,1993,N/A,N/A,N/A,eng
Gate of Ivrel,C. J. Cherryh,1976,N/A,N/A,N/A,"und, fre, eng, ger"
Wool omnibus,Hugh Howey,2012,N/A,N/A,N/A,eng
Skin Folk,Nalo Hopkinson,2001,N/A,N/A,N/A,eng
Star Trek Adventures - Trek to Madworld,Stephen Goldin,1979,N/A,N/A,N/A,"ger, eng"
Infinite Detail,Tim Maughan,2019,N/A,N/A,N/A,eng
The Survivor,James Herbert,1976,N/A,N/A,N/A,eng
Meteor!,Patricia Polacco,1987,N/A,N/A,N/A,eng
The living link,James De Mille,1874,N/A,N/A,N/A,eng
Star Wars - Legacy of the Force - Tempest,Troy Denning,2006,N/A,N/A,N/A,eng
The Island of Time,R. A. Montgomery,1991,N/A,N/A,N/A,"eng, spa"
Elder Race,Adrian Tchaikovsky,2021,N/A,N/A,N/A,eng
Shatterday,Harlan Ellison,1980,N/A,N/A,N/A,eng
Into the Labyrinth,"Margaret Weis, Tracy Hickman",1993,N/A,N/A,N/A,"eng, tur, ger, fre, spa"
The Suspicion,Katherine Applegate,1998,N/A,N/A,N/A,"fre, eng"
Willful Child,Steven Erikson,2014,N/A,N/A,N/A,eng
Dragonheart,Todd McCaffrey,2008,N/A,N/A,N/A,eng
King David's spaceship,Jerry Pournelle,1980,N/A,N/A,N/A,eng
The amazing Spider-Man,"Dan Slott, Christos Gage, Giuseppe Camuncoli, Smith, Cory (Comic book artist)",2017,N/A,N/A,N/A,eng
On the edge of gone,Corinne Duyvis,2016,N/A,N/A,N/A,eng
Because You'll Never Meet Me,Leah Thomas,2015,N/A,N/A,N/A,eng
Meg,Steve Alten,2004,N/A,N/A,N/A,eng
Isle of the Dead (Dragons of Deltora #3),Emily Rodda,2004,N/A,N/A,N/A,eng
Shadows of Sanctuary,"Robert Asprin, Vonda N. McIntyre, C. J. Cherryh, Andrew J. Offutt, Diana L. Paxson, Lynn Abbey, Janet Morris",1981,N/A,N/A,N/A,eng
The Dig,Alan Dean Foster,1995,N/A,N/A,N/A,eng
The killing game,Iris Johansen,1999,N/A,N/A,N/A,eng
The golden torc,Julian May,1982,N/A,N/A,N/A,eng
At All Costs,David Weber,2005,N/A,N/A,N/A,"ger, eng"
Earth One,Geoff Johns,2015,N/A,N/A,N/A,eng
Only forward,Michael Marshall Smith,1994,N/A,N/A,N/A,eng
The Valley of the Lost (Deltora Quest #7),Emily Rodda,2001,N/A,N/A,N/A,eng
The Heritage of Hastur,Marion Zimmer Bradley,1975,N/A,N/A,N/A,"ger, eng"
Rise of the Elgen,Richard Paul Evans,2012,N/A,N/A,N/A,eng
Sideshow,Sheri S. Tepper,1992,N/A,N/A,N/A,eng
Guardsman of Gor,John Norman,1981,N/A,N/A,N/A,eng
Star Wars - Fate of the Jedi - Omen,Christie Golden,2009,N/A,N/A,N/A,eng
Partials,Dan Wells,2012,N/A,N/A,N/A,eng
Iron Cage,Andre Norton,1974,N/A,N/A,N/A,eng
Dark intelligence,Neal L. Asher,2015,N/A,N/A,N/A,eng
Paul of Dune,Brian Herbert,2008,N/A,N/A,N/A,eng
The X-files,"Grant, Charles",1995,N/A,N/A,N/A,eng
The Vagrant,Peter Newman,2015,N/A,N/A,N/A,eng
Storm over Warlock,Andre Norton,2011,N/A,N/A,N/A,eng
Science Project (Terror Academy),Nicholas Pine,1994,N/A,N/A,N/A,eng
Thomas the rhymer,Ellen Kushner,1990,N/A,N/A,N/A,eng
Regenesis,C. J. Cherryh,2009,N/A,N/A,N/A,eng
The Moon Maid,Edgar Rice Burroughs,1926,N/A,N/A,N/A,eng
Geekerella,Ashley Poston,2017,N/A,N/A,N/A,eng
Conan the Barbarian,Robert E. Howard,2010,N/A,N/A,N/A,eng
Reunion,Alan Dean Foster,2001,N/A,N/A,N/A,eng
Star Wars - Young Jedi Knights - Jedi Bounty,Kevin J. Anderson,1997,N/A,N/A,N/A,"eng, ger"
Whisper,Lynette Noni,2018,N/A,N/A,N/A,eng
This World We Live In,Susan Beth Pfeffer,2010,N/A,N/A,N/A,eng
Nyxia Unleashed,Scott Reintgen,2018,N/A,N/A,N/A,eng
Kahawa,Donald E. Westlake,1982,N/A,N/A,N/A,"fre, eng"
Inconstant moon,Larry Niven,1900,N/A,N/A,N/A,eng
The Wit and Wisdom of Discworld,"Terry Pratchett, Stephen Briggs",2007,N/A,N/A,N/A,"pol, eng"
Omnivore,Piers Anthony,1968,N/A,N/A,N/A,"fre, eng"
Boy In The Tower,Polly Ho-Yen,2001,N/A,N/A,N/A,eng
Barlowe's guide to fantasy,Wayne Douglas Barlowe,1996,N/A,N/A,N/A,eng
Counter-clock world,Philip K. Dick,1967,N/A,N/A,N/A,"eng, fre"
The PRINCE IN WAITING,Sam Youd,1970,N/A,N/A,N/A,eng
Empire of the atom,A. E. van Vogt,1956,N/A,N/A,N/A,"eng, ger"
Dr. Brad has gone mad!,"Dan Gutman, Jim Paillot",2009,N/A,N/A,N/A,eng
Acorna's rebels,"Anne McCaffrey, Elizabeth Ann Scarborough",2003,N/A,N/A,N/A,eng
The Redemption of Time,Baoshu,2019,N/A,N/A,N/A,eng
Crossover,Michael Jan Friedman,1995,N/A,N/A,N/A,"und, eng"
A Wrinkle In Time Trilogy,Madeleine L'Engle,2012,N/A,N/A,N/A,eng
The long arm of Gil Hamilton,Larry Niven,1976,N/A,N/A,N/A,eng
Rusalka,C. J. Cherryh,1989,N/A,N/A,N/A,eng
The Final Reflection,John M. Ford,1984,N/A,N/A,N/A,"ger, eng"
Mission of Honor,David Weber,2010,N/A,N/A,N/A,"eng, ger"
Abduction,Robin Cook,2000,N/A,N/A,N/A,eng
Year zero,"Reid, Robert",2012,N/A,N/A,N/A,eng
Mentats of Dune,Brian Herbert,2014,N/A,N/A,N/A,eng
Air Apparent (Xanth),Piers Anthony,2007,N/A,N/A,N/A,eng
"Etiquette and Espionage
            
                Finishing School",Gail Carriger,2013,N/A,N/A,N/A,N/A
Elfangor's Secret,Katherine Applegate,1999,N/A,N/A,N/A,"spa, fre, eng"
Requiem,Lauren Oliver,2013,N/A,N/A,N/A,N/A
Whales on stilts,M. T. Anderson,2005,N/A,N/A,N/A,eng
Les fourmis,Bernard Werber,1991,N/A,N/A,N/A,"tur, fre, eng"
Faith Of Tarot,Piers Anthony,1980,N/A,N/A,N/A,eng
Event horizon,Steven E. McDonald,1997,N/A,N/A,N/A,eng
Star Trek 5,James Blish,1972,N/A,N/A,N/A,eng
Grunts,Mary Gentle,1992,N/A,N/A,N/A,"und, eng"
Masks of the Illuminati,Robert Anton Wilson,1981,N/A,N/A,N/A,"eng, ger"
They walked like men,Clifford D. Simak,1962,N/A,N/A,N/A,"dut, ger, eng, fre"
The social animal,David Brooks,2011,N/A,N/A,N/A,eng
maximum ride vol. 8,NaRae Lee,1947,N/A,N/A,N/A,eng
Star-begotten,H. G. Wells,1937,N/A,N/A,N/A,eng
The Devourers,Indra Das,2016,N/A,N/A,N/A,eng
Dark Life (Dark Life #1),Kat Falls,2010,N/A,N/A,N/A,eng
Voodoo Planet,Andre Norton,1959,N/A,N/A,N/A,eng
Orion,Ben Bova,1984,N/A,N/A,N/A,eng
Empire,Orson Scott Card,2006,N/A,N/A,N/A,eng
Unternehmen STARDUST / Die dritte Macht,"K. H. Scheer, Clark Darlton, Kurt Mahr, Walter Ernsting",1969,N/A,N/A,N/A,"ger, eng"
Ariah,"B.R. Sanders, B R Sanders",2015,N/A,N/A,N/A,eng
Across the Universe,Beth Revis,2011,N/A,N/A,N/A,N/A
Sunvault,"Phoebe Wagner, Brontë Christopher Wieland, A.C. Wise, Kristine Ong Muslim, Daniel José Older, Nisi Shawl, Iona Sharma, Jaymee Goh, Lavie Tidhar, Clara Ng, Chloe N. Clark, T. X. Watson, Yilun Fan, Lisa M. Bradley, José M. Jimenez, Bogi Takács, C Samuel Rees, Carlin Reynolds, Brandon O'Brien, Santiago Belluco, joel nathanael, Jack Pevyhouse, Sireesha Reddy, Tyler Young, Lev Mirov, Aleksei Valentín, Karyn L. Stecyk, Christine Moleski, Brandon Crilly, Jess Barber, Nick Wood, Camille Meyers, Leigh Wallace, Bethany Powell, Maura Lydon, Sara Norja, Likhain",2017,N/A,N/A,N/A,eng
Ariel,Steven R. Boyett,1984,N/A,N/A,N/A,eng
Young Miles,Lois McMaster Bujold,1997,N/A,N/A,N/A,"eng, ger"
The Serpent,Jane Gaskell,1963,N/A,N/A,N/A,"ger, eng"
Rally Cry (Lost Regiment),"William R. Forstchen, Patrick Lawlor",1990,N/A,N/A,N/A,eng
Empire from the ashes,David Weber,2003,N/A,N/A,N/A,eng
Flinx Transcendent,"Alan Dean Foster, Stefan Rudnicki",2009,N/A,N/A,N/A,eng
Web of the Romulans,M. S. Murdock,1983,N/A,N/A,N/A,"ger, eng"
The Trouble Twisters,"Poul Anderson, Paul Anderson",1966,N/A,N/A,N/A,"ger, eng"
Internment,Samira Ahmed,2019,N/A,N/A,N/A,eng
Star Wars,Karen Miller,2010,N/A,N/A,N/A,"fre, eng"
Book of Thunder,John Peel,1997,N/A,N/A,N/A,eng
Star Wars - Young Jedi Knights - Delusions of Grandeur,Kevin J. Anderson,1997,N/A,N/A,N/A,"eng, fre"
Engaging the Enemy,Elizabeth Moon,2006,N/A,N/A,N/A,eng
Star Trek VI - The Undiscovered Country,J. M. Dillard,1992,N/A,N/A,N/A,"chi, eng"
Star Trek - Log Three,Alan Dean Foster,1974,N/A,N/A,N/A,eng
Mass Effect Retribution,Drew Karpyshyn,2010,N/A,N/A,N/A,eng
"Y The Last Man, Vol. 7",Brian K. Vaughan,2006,N/A,N/A,N/A,eng
Palimpsest,"Catherynne M. Valente, Catherynne M. Valente, Aasne Vigesaa",2009,N/A,N/A,N/A,eng
The road to Mars,Eric Idle,1999,N/A,N/A,N/A,eng
Avenger,William Shatner,1984,N/A,N/A,N/A,"ger, eng"
White light,Rudy Rucker,1980,N/A,N/A,N/A,"tur, eng"
The seer of shadows,Avi,1772,N/A,N/A,N/A,eng
The Legend of Korra,Michael Dante DiMartino,2017,N/A,N/A,N/A,eng
Raising the stones,Sheri S. Tepper,1990,N/A,N/A,N/A,eng
War dogs,Greg Bear,2014,N/A,N/A,N/A,eng
City at the End of Time,Greg Bear,2008,N/A,N/A,N/A,"fre, eng"
Science Fiction Hall of Fame--Volume Two B,"Ben Bova, Isaac Asimov, James Blish, Algis Budrys, Theodore Cogswell, Edward Morgan Forster, Frederik Pohl, James H. Schmitz, T. L. Sherred, Wilmar H. Shiras, Clifford D. Simak, Jack Vance, James H. Schmitz, T. L. Sherred",1973,N/A,N/A,N/A,eng
Jack the Bodiless,"Julian May, Julian May - undifferentiated",1992,N/A,N/A,N/A,eng
Among the Barons (Shadow Children #4),Margaret Peterson Haddix,2003,N/A,N/A,N/A,eng
Doctor Who,"David J. Howe, Mark Stammers, Stephen James Walker",1994,N/A,N/A,N/A,eng
Spider-Man,"Kaare Andrews, Jose Villarrubia",2007,N/A,N/A,N/A,eng
"Last and first men, & Star maker",Olaf Stapledon,1968,N/A,N/A,N/A,eng
Conquerors' Pride,Timothy Zahn,1994,N/A,N/A,N/A,eng
The Art of the Discworld,"Terry Pratchett, Paul Kidby",2004,N/A,N/A,N/A,eng
Second stage Lensmen,Edward Elmer Smith,1953,N/A,N/A,N/A,eng
Star Wars - Tatooine Ghost,Troy Denning,2003,N/A,N/A,N/A,eng
The Dark Side of Nowhere,Neal Shusterman,1997,N/A,N/A,N/A,eng
Sand,Hugh Howey,2014,N/A,N/A,N/A,eng
Backwards (Red Dwarf),Rob Grant,1996,N/A,N/A,N/A,"spa, eng"
Fairest,Marissa Meyer,2015,N/A,N/A,N/A,eng
From the Earth to the Moon and Round the Moon,Jules Verne,1962,N/A,N/A,N/A,eng
Star Wars - Rebel Rising,Beth Revis,2017,N/A,N/A,N/A,"rus, eng"
The Disappearance,Philip Wylie,1951,N/A,N/A,N/A,eng
Islands in the net,Bruce Sterling,1989,N/A,N/A,N/A,eng
Ash Ock,Christopher Hinz,1989,N/A,N/A,N/A,eng
Across Billion Years,Robert Silverberg,1969,N/A,N/A,N/A,"eng, ita"
Remake,Connie Willis,1994,N/A,N/A,N/A,eng
Visitors,Orson Scott Card,2014,N/A,N/A,N/A,eng
The Secret World of Og,Pierre Berton,1961,N/A,N/A,N/A,eng
Identity Crisis,"Brad Meltzer, Rags Morales, Michael Bair",2005,N/A,N/A,N/A,eng
The smoke ring,Larry Niven,1987,N/A,N/A,N/A,eng
The dead & the gone,Susan Beth Pfeffer,2008,N/A,N/A,N/A,eng
The Encyclopedia of fantasy,"John Clute, John Grant, Michael Ashley, David G. Hartwell, Gary Westfahl",1997,N/A,N/A,N/A,eng
All the Myriad Ways,Larry Niven,1971,N/A,N/A,N/A,eng
What not,Rose Macaulay,1918,N/A,N/A,N/A,eng
The Flood (Halo),William C. Dietz,2003,N/A,N/A,N/A,eng
Machiavelli,Patrick Boucheron,2020,N/A,N/A,N/A,eng
Statesman,Piers Anthony,1987,N/A,N/A,N/A,eng
The Night Parade,Ronald Malfi,2016,N/A,N/A,N/A,eng
Acorna's search,"Anne McCaffrey, Elizabeth Ann Scarborough",2001,N/A,N/A,N/A,eng
Corsets & Clockwork,"Trisha Telep, Maria V. Snyder, Tiffany Trent, Kiersten White, Jaclyn Dolamore, Tessa Gratton, Caitlin Kittredge, Adrienne Kress, Lesley Livingston, Dru Pagliassotti, Dia Reeves, Michael Scott, Ann Aguirre, Allan Frewin Jones",2011,N/A,N/A,N/A,N/A
A Heritage of Stars,Clifford D. Simak,1977,N/A,N/A,N/A,"rus, eng"
Shadrach in the Furnace,Robert Silverberg,1976,N/A,N/A,N/A,"eng, fre"
TWISTING THE ROPE,R. A. Macavoy,1986,N/A,N/A,N/A,eng
The bone collector,Jeffery Deaver,1996,N/A,N/A,N/A,"und, chi, eng"
Rash,Pete Hautman,2006,N/A,N/A,N/A,eng
Green Lantern,Geoff Johns,2005,N/A,N/A,N/A,eng
Star Wars - Crosscurrent,Paul S. Kemp,2010,N/A,N/A,N/A,eng
Sunstorm,"Arthur C. Clarke, Stephen Baxter",2005,N/A,N/A,N/A,"ger, eng"
Contest,Matthew Reilly,2000,N/A,N/A,N/A,eng
Bright Shadow,Avi,1985,N/A,N/A,N/A,eng
World's End,Joan D. Vinge,1984,N/A,N/A,N/A,"spa, eng, fre"
Vision of Tarot,Piers Anthony,1980,N/A,N/A,N/A,eng
The Sirian experiments,Doris Lessing,1980,N/A,N/A,N/A,"eng, spa"
Plague Ship,Andre Norton,1956,N/A,N/A,N/A,eng
Dayworld,Philip José Farmer,1985,N/A,N/A,N/A,eng
Edge of Collapse,Kyla Stone,2020,N/A,N/A,N/A,eng
The Risen Empire,Scott Westerfeld,2003,N/A,N/A,N/A,eng
The Stone Canal,Ken MacLeod,1996,N/A,N/A,N/A,eng
Transformers,John Barber,2013,N/A,N/A,N/A,N/A
Nachtlicht,"Jack Vance, Jay Rawlins, Annemarie van Ewyck",1996,N/A,N/A,N/A,"eng, ger"
Doctor Who,"Terrance Dicks, Terrance Dicks",2008,N/A,N/A,N/A,eng
Phaze doubt,Piers Anthony,1990,N/A,N/A,N/A,"und, eng"
The Stories of Ray Bradbury,Ray Bradbury,1980,N/A,N/A,N/A,eng
The Game,Diana Wynne Jones,2007,N/A,N/A,N/A,eng
Midnight Robber,Nalo Hopkinson,2000,N/A,N/A,N/A,eng
Book of Signs (Diadem,John Peel,1997,N/A,N/A,N/A,eng
The spellsong war Bk. 2,"L. E. Modesitt, Jr.",1998,N/A,N/A,N/A,eng
Predator,"Paul Monette, John C. Thomas, James E. Thomas",1987,N/A,N/A,N/A,eng
Star Wars - The Cestus Deception,Steven Barnes,2004,N/A,N/A,N/A,eng
The Gone-Away World,Nick Harkaway,2009,N/A,N/A,N/A,eng
Star Wars - The Bounty Hunter Wars - The Mandalorian Armor,K. W. Jeter,1998,N/A,N/A,N/A,eng
Diplomatic immunity,Lois McMaster Bujold,2002,N/A,N/A,N/A,eng
Death's Master,Tanith Lee,1979,N/A,N/A,N/A,eng
Alien: Out of the Shadows,Tim Lebbon,2014,N/A,N/A,N/A,N/A
Gray Lensman,Edward Elmer Smith,1939,N/A,N/A,N/A,eng
"The New Hugo winners, Volume II","Isaac Asimov, Roger Zelazny, Harlan Ellison, Frederik Pohl, Robert Silverberg, Greg Bear, Orson Scott Card, Ursula K. Le Guin, Lawrence Watt-Evans",1991,N/A,N/A,N/A,eng
Game over,"James Patterson, James Patterson Jr., Ned Rust",2000,N/A,N/A,N/A,eng
Flash Gordon,Alex Raymond,1967,N/A,N/A,N/A,"fre, eng"
"Science fiction, science fact",Isaac Asimov,1989,N/A,N/A,N/A,eng
Star Trek,Alan Dean Foster,2009,N/A,N/A,N/A,eng
Teen Titans,Geoff Johns,2004,N/A,N/A,N/A,eng
The seedling stars,James Blish,1957,N/A,N/A,N/A,"fre, eng"
The Andalite Chronicles,Katherine Applegate,1997,N/A,N/A,N/A,"fre, eng"
The Underground,Katherine Applegate,1998,N/A,N/A,N/A,"eng, fre"
Star Wars - Legacy of the Force - Invincible,Troy Denning,2008,N/A,N/A,N/A,eng
Mary Baker Eddy,"Peel, Robert",1966,N/A,N/A,N/A,eng
Greybeard,Brian W. Aldiss,1964,N/A,N/A,N/A,eng
Star Trek - Mirror Universe - Spectre,William Shatner,1998,N/A,N/A,N/A,eng
